0,1,2,3,4,5,6,7,8,9,10,11,12
-0.82,0.58,0.0,57,64,44,38,49,933,1,1,1,1
-0.83,0.53,-0.01,52,60,49,44,53,931,1,1,1,1
-0.8,0.53,0.03,62,69,54,42,57,929,1,1,1,1
-0.4,0.36,-0.04,57,57,41,30,43,931,1,1,1,1
-0.82,0.7,-0.14,62,65,48,36,43,1023,0,1,1,1
-0.95,0.71,-0.03,67,65,51,42,51,1023,0,1,1,1
-0.69,0.62,-0.09,75,76,66,47,56,1022,0,1,1,1
-0.74,0.6,-0.07,72,72,62,50,62,1020,0,1,1,1
-0.85,0.6,-0.04,70,53,46,42,49,1023,0,1,1,1
-0.72,0.55,-0.08,72,58,48,36,48,1021,0,1,1,1
-0.85,0.69,-0.08,72,72,57,48,57,1023,0,1,1,1
-0.76,0.58,-0.13,70,57,53,38,44,1023,0,1,1,1
-0.8,0.59,-0.03,75,53,48,38,46,932,1,1,1,1
-0.74,0.57,-0.05,75,60,43,39,48,932,1,1,1,1
-0.55,0.43,0.13,70,76,62,48,57,1022,0,1,1,1
-0.67,0.57,0.12,77,109,98,58,90,1023,0,1,1,1
-0.71,0.81,0.13,75,102,93,58,79,1023,0,1,1,1
-0.74,0.61,0.09,77,69,54,48,48,1023,0,1,1,1
-0.75,0.71,0.06,75,65,54,44,46,1020,0,1,1,1
-0.72,0.64,0.14,70,64,54,45,51,1020,0,1,1,1
-0.77,0.57,0.06,52,57,49,42,43,1022,0,1,1,1
-0.67,0.64,0.02,52,51,51,47,46,1021,0,1,1,1
-0.64,0.6,0.12,62,55,46,44,53,1023,0,1,1,1
-0.74,0.59,0.08,70,60,51,45,54,1023,0,1,1,1
-0.82,0.55,-0.02,75,67,56,50,59,1023,0,1,1,1
-0.75,0.59,-0.02,70,71,59,54,62,1022,0,1,1,1
-0.7,0.64,0.06,62,55,44,41,49,1023,0,1,1,1
-0.81,0.51,0.01,70,65,54,57,74,1023,0,1,1,1
-0.84,0.58,-0.02,75,64,53,55,53,1023,0,1,1,1
-0.7,0.54,0.05,88,79,61,60,64,1023,0,1,1,1
-0.7,0.63,0.04,95,76,66,60,67,1022,0,1,1,1
-0.69,0.59,0.05,65,76,64,60,71,1022,0,1,1,1
-0.76,0.58,-0.0,85,55,56,55,64,1022,0,1,1,1
-0.81,0.62,0.02,77,58,48,51,56,1023,0,1,1,1
-0.8,0.53,-0.0,72,72,59,48,56,1023,0,1,1,1
-0.71,0.6,0.03,70,62,51,48,43,1023,0,1,1,1
-0.81,0.56,-0.02,67,64,49,48,51,1023,0,1,1,1
-0.77,0.58,-0.03,77,71,49,55,62,1020,0,1,1,1
-0.68,0.53,0.11,90,85,74,61,84,1019,0,1,0,0
-0.72,0.6,-0.03,103,97,88,60,136,1019,0,0,0,0
-0.68,0.64,0.06,83,79,61,58,64,1023,0,1,1,1
-0.76,0.54,0.11,88,88,71,64,84,1023,0,1,1,1
-0.79,0.6,0.05,103,79,57,63,71,1020,0,1,1,1
-0.79,0.54,0.08,77,58,46,50,53,1023,0,1,1,1
-0.82,0.51,0.12,75,97,79,66,77,1023,0,1,1,1
-0.76,0.52,0.08,72,69,59,51,53,1023,0,1,1,1
-0.67,0.58,0.06,75,69,54,51,56,932,1,1,1,1
-0.85,0.62,0.06,95,79,67,54,69,1023,0,1,1,1
-0.71,0.57,0.11,90,78,66,57,69,1023,0,1,1,1
-0.75,0.57,0.06,65,78,62,57,67,1023,0,1,1,1
-0.81,0.62,0.12,70,79,66,61,74,1023,0,1,1,1
-0.75,0.54,0.07,65,72,64,60,75,1023,0,1,1,1
-0.71,0.53,0.02,57,69,53,47,49,1021,0,1,1,1
-0.82,0.6,-0.01,65,78,61,55,62,1023,0,1,1,1
-0.89,0.63,-0.0,72,86,69,61,75,1022,0,1,1,1
-0.82,0.55,-0.02,54,72,56,51,57,1020,0,1,1,1
-0.73,0.58,-0.03,75,95,71,64,95,1018,0,0,0,0
-0.8,0.56,0.01,62,71,59,55,64,1021,0,1,1,1
-0.62,0.54,0.1,67,79,67,64,75,1023,0,1,1,1
-0.78,0.54,0.03,72,83,66,60,72,1023,0,1,1,1
-0.71,0.6,0.06,80,92,75,64,84,1023,0,1,1,1
-0.56,0.56,0.05,72,78,62,60,72,1022,0,1,1,1
-0.64,0.6,0.03,62,71,56,55,56,1023,0,1,1,1
-0.93,0.65,-0.06,42,60,56,44,48,1023,0,1,1,1
-0.82,0.61,-0.01,65,76,61,55,59,1023,0,1,1,1
-0.64,0.61,0.02,72,76,59,57,61,1021,0,0,1,1
-0.77,0.58,0.03,65,64,53,50,54,1022,0,1,1,1
-0.8,0.61,0.02,72,90,64,57,69,1022,0,1,1,1
-0.68,0.58,-0.02,60,65,59,55,64,1023,0,1,1,1
-0.85,0.56,0.02,67,78,67,58,67,1021,0,1,1,1
-0.69,0.56,0.08,72,79,71,61,72,1023,0,1,1,1
-0.65,0.67,-0.03,65,65,57,45,53,1023,0,1,1,1
-0.76,0.56,0.01,65,60,67,52,57,1023,0,1,1,1
-0.73,0.66,0.04,62,64,56,52,57,1022,0,1,1,1
-0.73,0.64,-0.03,108,71,59,61,59,1023,0,1,1,1
-0.75,0.62,0.06,54,60,54,42,56,1023,0,1,1,1
-0.72,0.64,0.07,65,71,59,52,48,1023,0,1,1,1
-0.74,0.64,0.07,75,79,72,64,84,1023,0,1,1,1
-0.68,0.67,0.06,44,53,51,42,48,1020,0,1,1,1
-0.69,0.64,0.06,60,60,56,44,53,1021,0,1,1,1
-0.76,0.65,0.08,62,78,69,64,79,1022,0,1,1,1
-0.72,0.52,0.04,60,60,51,42,51,1022,0,1,1,1
-0.84,0.61,-0.0,49,65,53,51,57,1023,0,1,1,1
-0.67,0.48,0.09,70,79,64,51,74,1023,0,1,1,1
-0.79,0.6,0.02,62,65,54,52,61,1023,0,1,1,1
-0.73,0.65,0.02,70,74,64,57,84,1023,0,1,1,1
-0.77,0.61,0.03,62,65,57,57,61,1023,0,1,1,1
-0.74,0.62,0.01,62,67,57,52,59,1023,0,1,1,1
-0.74,0.6,0.05,54,69,56,48,48,1023,0,1,1,1
-0.76,0.62,0.04,70,78,61,57,67,1023,0,1,1,1
-0.75,0.58,0.04,49,53,43,38,46,1021,0,1,1,1
-0.75,0.58,0.05,65,72,59,54,67,1021,0,1,1,1
-0.73,0.68,0.04,70,67,59,54,67,1023,0,1,1,1
-0.71,0.57,0.04,72,76,67,58,72,1020,0,1,1,1
-0.78,0.6,-0.02,65,65,54,47,51,1023,0,1,1,1
-0.77,0.62,-0.0,70,71,59,51,53,1023,0,1,1,1
-0.82,0.59,-0.02,70,64,56,51,56,1023,0,1,1,1
-0.75,0.66,-0.03,80,79,62,60,72,1023,0,1,1,1
-0.83,0.64,-0.03,60,65,56,52,54,1023,0,1,1,1
-0.72,0.58,-0.01,62,79,66,63,66,1020,0,0,1,1
-0.05,0.98,0.05,43,250,36,35,45,1023,0,0,1,1
-0.05,0.99,0.05,45,250,37,37,45,1023,0,0,1,1
-0.07,1.01,0.07,48,250,37,37,45,1022,0,0,1,1
-0.03,0.99,0.06,51,251,37,38,47,1023,0,0,1,1
-0.07,0.98,0.09,51,251,37,37,47,1023,0,0,1,1
-0.02,0.97,0.1,51,251,37,38,45,1023,0,0,1,1
-0.03,0.98,0.09,51,251,39,38,49,1023,0,0,1,1
-0.0,0.99,0.09,53,250,39,38,49,1023,0,0,1,1
-0.02,0.98,0.09,53,250,39,38,49,1022,0,0,1,1
-0.03,0.96,0.12,53,251,41,40,49,1022,0,0,1,1
0.04,0.98,0.08,53,251,39,40,49,1023,0,0,1,1
0.05,0.99,0.09,53,251,41,40,50,1023,0,0,1,1
0.06,0.97,0.11,56,251,41,40,50,1023,0,0,1,1
0.06,0.98,0.09,53,251,43,40,50,1023,0,0,1,1
0.04,0.98,0.09,53,250,43,40,50,1023,0,0,1,1
0.06,0.98,0.1,56,248,41,42,50,1023,0,0,1,1
0.05,0.99,0.09,56,245,43,40,50,1023,0,0,1,1
0.05,0.98,0.1,59,246,43,40,47,1023,0,0,1,1
0.07,0.98,0.1,56,246,43,42,49,1022,0,0,1,1
0.09,0.98,0.09,59,248,43,40,49,1022,0,0,1,1
0.07,0.97,0.12,56,248,44,40,49,1023,0,0,1,1
0.07,0.97,0.11,56,248,43,40,50,1023,0,0,1,1
0.03,1.01,0.01,59,248,44,40,50,1023,0,0,1,1
0.02,0.98,0.06,56,250,44,42,50,1022,0,0,1,1
0.06,0.99,0.04,59,248,44,42,50,1023,0,0,1,1
0.02,0.99,0.09,59,248,44,42,50,1023,0,0,1,1
0.05,0.98,0.1,59,250,44,42,50,1023,0,0,1,1
0.06,0.95,0.09,59,255,44,42,50,1023,0,0,1,1
0.05,0.97,0.07,59,255,44,42,50,1023,0,0,1,1
0.04,0.97,0.07,59,255,43,40,52,1023,0,0,1,1
0.05,0.98,0.07,61,255,44,48,52,1023,0,0,1,0
0.05,0.97,0.07,64,253,48,49,57,1023,0,0,1,0
0.05,0.98,0.08,59,253,46,43,50,1023,0,0,1,1
0.06,1.0,0.05,59,250,46,46,52,1023,0,0,1,1
0.05,0.97,0.11,64,251,43,48,52,1023,0,0,1,1
0.05,0.96,0.07,61,253,44,48,54,1023,0,0,1,1
0.05,0.97,0.11,64,253,46,49,55,1023,0,0,1,1
-0.02,0.96,0.08,61,253,48,49,55,1022,0,0,1,1
0.02,0.96,0.14,64,253,48,49,55,1023,0,0,1,1
0.07,0.96,0.05,64,253,39,51,50,1023,0,0,1,1
-0.03,0.99,-0.05,59,253,44,48,50,1023,0,0,1,1
-0.12,0.98,0.04,59,253,46,48,52,1023,0,0,1,1
0.01,0.97,0.08,61,253,46,48,50,1023,0,0,1,1
0.08,0.99,-0.02,61,253,48,46,50,1023,0,0,1,1
-0.03,1.0,0.0,59,255,46,48,50,1023,0,0,1,1
0.05,0.97,0.03,59,253,48,48,49,1023,0,0,1,1
-0.15,0.94,0.16,61,253,48,46,50,1023,0,0,1,1
-0.05,0.96,0.04,61,253,48,48,50,1022,0,0,1,1
-0.17,0.98,0.07,64,253,46,48,52,1023,0,0,1,1
-0.02,0.97,-0.01,64,251,48,49,52,1023,0,0,1,1
-0.12,0.99,0.04,61,251,50,48,54,1023,0,0,1,1
0.07,0.97,0.1,61,251,48,46,52,1023,0,0,1,1
0.02,0.98,0.03,61,251,50,48,52,1023,0,0,1,1
-0.17,0.94,0.12,61,250,50,48,54,1023,0,0,1,1
-0.09,0.98,0.07,64,251,50,49,54,1023,0,0,1,1
-0.1,1.0,0.08,64,251,50,48,54,1023,0,0,1,1
0.01,0.98,0.08,61,251,50,49,54,1023,0,0,1,1
0.01,0.97,0.05,61,251,51,48,54,1023,0,0,1,1
-0.06,1.01,0.07,64,250,51,49,54,1023,0,0,1,1
-0.06,0.99,0.04,61,250,51,48,54,1023,0,0,1,1
-0.05,0.96,0.05,61,250,51,48,54,1023,0,0,1,1
-0.07,0.99,0.07,61,250,51,48,54,1023,0,0,1,1
-0.19,0.99,0.02,61,250,51,49,54,1023,0,0,1,1
-0.03,1.02,-0.06,64,250,51,49,54,1023,0,0,1,1
-0.07,0.92,0.06,64,250,51,48,54,1022,0,0,1,1
-0.3,1.0,-0.0,64,250,51,49,54,1023,0,0,1,1
-0.03,1.0,0.0,64,250,51,49,54,1023,0,0,1,1
-0.05,0.98,0.03,64,250,50,49,54,1023,0,0,1,1
-0.01,0.97,0.03,56,248,48,48,52,1023,0,0,1,1
-0.02,0.98,0.0,61,248,50,49,54,1023,0,0,1,1
-0.06,0.99,-0.02,61,248,51,48,54,1023,0,0,1,1
-0.06,0.98,-0.01,61,248,51,48,54,1023,0,0,1,1
-0.01,0.99,-0.04,61,250,53,48,54,1023,0,0,1,1
-0.04,0.97,-0.03,64,250,51,48,54,1023,0,0,1,1
-0.05,0.98,0.02,64,250,51,48,54,1023,0,0,1,1
-0.1,0.97,-0.05,64,250,53,48,54,1023,0,0,1,1
-0.06,0.98,-0.0,61,250,53,48,55,1023,0,0,1,1
-0.04,0.98,-0.08,56,250,51,48,54,1023,0,0,1,1
0.01,0.97,-0.03,56,248,51,48,54,1023,0,0,1,1
-0.19,0.99,0.08,59,250,51,46,55,1023,0,0,1,1
-0.04,0.99,-0.05,61,248,53,46,55,1023,0,0,1,1
-0.09,1.0,-0.18,59,250,53,48,55,1023,0,0,1,1
-0.03,0.99,-0.12,61,235,53,48,55,1023,0,0,1,1
-0.03,0.98,-0.08,61,215,55,48,55,1023,0,0,1,1
-0.06,0.96,-0.06,61,226,55,48,55,1022,0,0,1,1
-0.09,0.96,-0.05,61,225,55,48,57,1023,0,0,1,1
-0.05,1.01,-0.11,61,225,55,48,57,1023,0,0,1,1
-0.05,0.97,-0.08,61,225,55,48,57,1023,0,0,1,1
-0.07,0.99,-0.08,61,226,55,48,57,1023,0,0,1,1
-0.02,0.96,-0.06,61,231,55,49,57,1023,0,0,1,1
-0.14,1.0,0.01,61,243,55,49,57,1022,0,0,1,1
-0.02,0.98,-0.1,56,243,53,48,55,1023,0,0,1,1
-0.11,1.0,-0.04,59,240,55,48,57,1022,0,0,1,1
-0.0,0.98,-0.15,59,238,55,49,57,1022,0,0,1,1
-0.13,0.99,-0.11,64,240,55,49,55,1023,0,0,1,1
-0.0,0.99,-0.12,61,240,55,49,57,1022,0,0,1,1
-0.14,0.98,-0.09,64,240,55,49,57,1023,0,0,1,1
-0.11,1.01,-0.11,64,240,55,49,57,1023,0,0,1,1
-0.05,1.0,-0.14,64,240,55,48,57,1023,0,0,1,1
-0.13,0.97,-0.16,64,240,55,49,57,1023,0,0,1,1
-0.93,0.22,-0.09,65,255,51,92,77,1022,0,0,1,1
-0.94,0.17,-0.17,65,255,49,91,81,1020,0,0,1,1
-0.94,0.17,-0.08,206,255,46,82,72,1021,0,0,1,1
-1.01,0.19,0.01,195,255,48,80,69,1020,0,0,1,1
-0.96,0.25,-0.04,142,255,54,88,86,1021,0,0,1,1
-0.96,0.24,-0.0,168,255,105,103,98,841,0,1,1,1
-0.92,0.25,-0.0,168,255,81,106,101,1020,0,0,1,1
-0.93,0.25,-0.03,126,255,38,97,87,1019,0,0,1,1
-0.93,0.25,-0.03,76,255,36,91,77,1019,0,0,1,1
-0.94,0.2,-0.03,71,255,43,91,72,1019,0,0,1,1
-0.96,0.21,-0.02,81,255,44,94,80,1018,0,0,1,1
-0.94,0.21,-0.02,78,255,43,94,80,1019,0,0,1,1
-0.93,0.22,-0.02,81,255,48,88,80,1018,0,0,1,1
-0.93,0.21,-0.02,76,255,48,92,80,1017,0,0,1,1
-0.93,0.2,-0.04,81,255,48,91,78,1019,0,0,1,1
-0.94,0.2,-0.01,85,255,49,95,80,1016,0,0,1,1
-0.93,0.21,-0.04,85,255,53,91,84,1019,0,0,1,1
-0.94,0.21,-0.02,85,255,49,92,77,1019,0,0,1,1
-0.94,0.21,-0.02,92,255,49,92,83,1018,0,0,1,1
-0.93,0.21,-0.03,85,255,48,91,83,1018,0,0,1,1
-0.94,0.2,-0.02,87,255,49,92,86,1019,0,0,1,1
-0.91,0.22,0.0,85,255,49,94,81,1019,0,0,1,1
-0.94,0.21,-0.01,87,255,49,92,83,1016,0,0,1,1
-0.93,0.2,-0.04,87,255,49,89,83,1023,0,0,1,1
-0.94,0.19,-0.03,87,255,49,92,77,1018,0,0,1,1
-0.96,0.23,-0.01,92,255,54,94,83,1019,0,0,1,1
-0.94,0.19,-0.06,90,255,51,92,84,1016,0,0,1,1
-0.94,0.19,-0.05,97,255,53,92,86,1018,0,0,1,1
-0.94,0.2,-0.04,85,255,53,95,81,1018,0,0,1,1
-0.94,0.2,-0.06,94,255,53,94,84,1018,0,0,1,1
-0.93,0.2,-0.07,94,255,53,95,86,1023,0,0,1,1
-0.94,0.21,-0.06,94,255,53,92,84,1018,0,0,1,1
-0.94,0.21,-0.05,94,255,54,94,87,1018,0,0,1,1
-0.95,0.2,-0.03,94,255,53,94,89,1018,0,0,1,1
-0.94,0.2,-0.04,94,255,54,97,87,1021,0,0,1,1
-0.93,0.21,-0.05,85,255,54,94,86,1019,0,0,1,1
-0.94,0.2,-0.05,94,255,56,94,87,1018,0,0,1,1
-0.94,0.2,-0.03,94,255,51,95,87,1018,0,0,1,1
-0.95,0.21,-0.06,101,255,53,88,87,1018,0,0,1,1
-0.94,0.21,-0.04,90,255,54,94,87,1015,0,0,1,1
-0.95,0.21,-0.05,92,255,54,97,86,1018,0,0,1,1
-0.95,0.2,-0.03,92,255,56,94,87,1016,0,0,1,1
-0.94,0.21,-0.04,92,255,56,92,87,1023,0,0,1,1
-0.94,0.21,-0.05,92,255,54,94,83,1018,0,0,1,1
-0.94,0.21,-0.06,97,255,56,95,87,1018,0,0,1,1
-0.93,0.21,-0.04,92,255,51,94,89,1018,0,0,1,1
-0.94,0.21,-0.05,99,255,56,95,87,1019,0,0,1,1
-0.94,0.21,-0.04,85,255,56,95,84,1018,0,0,1,1
-0.94,0.21,-0.03,97,255,56,95,87,1018,0,0,1,1
-0.93,0.2,-0.04,99,255,53,95,87,1019,0,0,1,1
-0.94,0.21,-0.05,99,255,56,91,87,1018,0,0,1,1
